Cycle,MSE,Duration
0,217.91942596435547,37.98225259780884
1,211.36889266967773,38.239089012145996
2,210.07062149047852,39.281776428222656
3,222.98183059692383,40.90633010864258
4,216.90934371948242,37.932865858078
5,219.76016998291016,41.9456741809845
6,216.0130500793457,39.82252335548401
7,215.3313865661621,39.21449089050293
8,214.38580322265625,41.12990689277649
9,212.64934539794922,39.865376710891724
